Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUS,Australia,Oceania,Australia and New Zealand,4.77,26.14,2.18,2.39,-12.31,31.31,3.83,2.12,58.17,2.45,2.11,1.13,2.57,2.33,27.38,5.54,1.54,1.49,0.44,1.41,5.05
AUT,Austria,Europe,Western Europe,2.16,1.41,1.78,1.69,0.92,1.62,1.94,1.77,1.41,2.35,2.09,2.07,1.98,1.85,1.47,1.97,1.81,1.65,1.9,2.15,5.28
ARM,Armenia,Asia,Western Asia,0.14,2.5,4.92,0.79,2.71,3.78,11.75,3.69,7.49,8.63,5.26,5.85,1.88,5.14,-2.02,0.7,3.7,1.17,1.3,7.23,8.28
BEL,Belgium,Europe,Western Europe,-8.18,24.44,1.87,2.14,0.61,1.63,1.94,1.94,1.4,1.81,2.24,1.35,1.57,1.37,1.96,1.52,1.31,3.77,1.48,1.61,4.42
BRA,Brazil,Americas,South America,8.38,13.08,7.92,7.45,4.52,3.56,4.92,5.18,5.03,6.48,5.6,5.81,6.49,8.61,7.61,4.47,3.28,3.52,2.23,5.1,8.94
CAN,Canada,Americas,Northern America,2.68,2.42,1.34,1.36,1.27,2.04,1.06,1.69,1.34,1.43,1.35,0.83,1.56,2.55,2.02,1.78,2.02,2.29,1.29,2.4,5.03
CHE,Switzerland,Europe,Western Europe,0.63,-0.78,0.8,0.82,0.71,0.63,1.45,1.09,0.22,2.61,0.27,-0.85,-0.01,-0.35,-0.33,0.29,0.37,0.46,-0.25,0.36,1.71
CHL,Chile,Americas,South America,2.68,1.63,1.22,2.38,2.99,2.35,5.18,1.16,0.53,1.25,2.21,1.49,3.59,4.67,4.0,2.03,1.72,2.21,2.29,3.82,8.97
COL,Colombia,Americas,South America,5.78,6.44,5.66,4.62,3.72,5.79,5.61,4.66,2.83,2.88,3.31,2.48,2.77,4.19,6.58,5.06,3.35,3.44,2.25,2.07,6.22
CRI,Costa Rica,Americas,Central America,8.81,9.77,9.54,10.41,10.81,7.94,12.46,9.76,5.14,4.58,4.63,5.31,4.34,1.81,0.14,1.24,2.1,2.38,1.31,0.88,1.88
CZE,Czech Republic,Europe,Eastern Europe,0.56,-0.01,1.5,0.49,0.67,1.46,2.11,-0.84,0.09,1.07,0.78,0.06,0.75,0.15,0.51,2.57,1.86,2.22,3.63,4.99,12.18
DEU,Germany,Europe,Western Europe,1.56,0.94,1.71,1.06,1.13,1.94,1.44,1.27,0.71,0.92,1.28,1.26,1.37,1.67,1.21,1.23,1.31,1.49,0.96,2.13,3.72
DNK,Denmark,Europe,Northern Europe,2.52,2.32,1.3,1.38,1.4,1.41,13.46,2.26,1.84,1.81,1.9,1.21,0.87,-19.08,2.05,14.47,0.65,0.76,0.93,1.2,3.87
DOM,Dominican Republic,Americas,Caribbean,4.84,23.72,47.11,4.9,5.09,4.58,7.22,5.18,3.46,5.54,3.71,4.88,3.24,2.23,1.68,2.18,2.58,2.14,3.63,5.92,7.07
ESP,Spain,Europe,Southern Europe,2.84,2.9,35.36,2.48,2.75,44.43,1.04,-3.83,0.57,1.3,24.55,1.08,-0.05,0.52,0.84,1.13,0.93,0.96,0.57,0.57,3.62
EST,Estonia,Europe,Northern Europe,2.92,2.41,1.22,1.87,3.31,5.43,6.46,1.87,0.75,2.3,2.2,1.41,1.0,1.42,1.33,2.12,2.3,2.12,0.15,2.78,9.5
FIN,Finland,Europe,Northern Europe,1.54,0.61,-0.21,0.19,1.27,2.64,2.55,0.4,1.19,2.04,2.27,0.98,1.46,0.56,0.96,0.66,0.68,0.83,0.5,1.73,3.97
FRA,France,Europe,Western Europe,1.79,2.1,2.17,1.54,1.29,-11.35,14.63,-11.68,17.02,1.1,1.35,0.87,1.0,0.55,0.42,8.94,1.01,0.74,0.97,0.96,2.72
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,1.48,1.28,1.07,1.44,1.7,1.9,1.9,1.6,2.0,2.8,2.1,1.9,1.6,1.3,1.6,2.3,1.9,1.7,1.5,2.3,5.26
GRC,Greece,Europe,Southern Europe,3.42,5.93,3.18,3.16,2.45,2.74,6.95,2.23,3.39,1.88,0.2,-2.02,-1.24,-1.01,-1.13,0.45,22.3,-2.43,-0.67,-0.62,3.17
GTM,Guatemala,Americas,Central America,6.79,4.71,5.71,6.65,5.1,4.85,8.14,2.67,2.49,4.7,3.93,3.78,3.16,3.19,3.12,2.96,2.72,3.04,2.41,3.0,4.25
HND,Honduras,Americas,Central America,8.42,7.7,7.64,7.88,5.99,6.59,9.91,7.18,3.96,5.58,6.15,5.69,5.93,4.83,3.55,3.96,3.85,4.04,3.98,4.59,7.92
HRV,Croatia,Europe,Southern Europe,2.91,1.82,2.28,1.96,3.45,3.23,3.45,3.57,0.48,0.6,0.96,1.04,0.44,0.73,0.14,0.71,0.86,0.91,1.0,1.61,6.12
HUN,Hungary,Europe,Eastern Europe,5.84,4.53,5.7,2.06,2.23,5.3,5.08,4.12,2.99,2.73,5.07,3.33,2.17,1.21,1.39,2.32,2.48,3.78,3.05,4.55,9.8
IRL,Ireland,Europe,Northern Europe,17.0,3.92,2.37,2.45,4.17,5.87,3.26,-4.34,-1.22,26.63,-2.24,0.66,0.93,-12.55,0.96,0.33,0.14,1.13,0.27,1.8,4.67
ISL,Iceland,Europe,Northern Europe,6.17,3.03,3.21,5.05,6.29,6.55,11.4,11.39,4.68,2.61,4.59,4.1,2.73,2.09,2.16,2.43,2.53,2.93,2.89,4.38,7.67
ISR,Israel,Asia,Western Asia,5.95,-0.27,-1.21,0.11,1.43,0.05,2.82,4.25,2.86,2.96,1.26,0.88,0.76,0.5,0.05,-0.02,0.68,0.9,-0.14,1.25,3.85
ITA,Italy,Europe,Southern Europe,-22.89,2.48,2.13,2.05,1.73,1.91,35.2,-13.39,13.78,-3.33,1.75,1.12,0.83,0.68,-28.62,0.69,0.61,0.6,0.49,0.8,2.79
JPN,Japan,Asia,Eastern Asia,-0.77,-0.3,-0.39,-0.31,-0.23,-0.14,0.35,-0.78,-1.1,-0.75,-0.49,-0.09,1.98,1.02,0.4,-0.07,0.19,0.45,0.11,-0.73,0.19
KOR,Korea (Republic of),Asia,Eastern Asia,2.97,3.06,2.93,2.35,1.8,2.32,4.26,3.55,1.76,3.18,1.68,1.65,1.99,2.2,1.6,1.48,1.17,0.89,0.35,1.37,3.56
LTU,Lithuania,Europe,Northern Europe,0.48,0.74,0.65,1.17,2.27,5.08,8.98,3.93,0.07,2.29,2.26,1.25,1.0,1.24,2.23,3.89,2.18,2.41,3.06,3.5,10.05
LUX,Luxembourg,Europe,Western Europe,-27.15,28.19,-19.78,27.67,12.35,2.12,1.99,2.02,1.58,2.39,2.09,2.08,1.31,1.61,0.95,1.37,0.88,1.8,1.29,1.57,4.04
LVA,Latvia,Europe,Northern Europe,1.64,0.76,4.42,4.32,4.75,8.45,12.16,5.38,-2.19,0.81,0.36,0.16,1.83,1.81,1.55,1.6,2.25,2.78,1.22,1.88,6.85
MAR,Morocco,Africa,Northern Africa,1.6,1.1,1.5,1.6,3.1,1.7,4.5,0.7,0.4,1.8,0.9,1.5,1.2,1.4,0.8,1.3,1.8,0.58,0.54,1.59,5.42
MEX,Mexico,Americas,Central America,4.49,3.86,3.82,3.54,3.34,3.84,4.72,5.01,3.89,3.21,3.42,2.72,3.18,2.36,2.97,4.68,3.82,3.71,3.2,3.86,5.95
MUS,Mauritius,Africa,Eastern Africa,4.76,6.63,15.0,15.93,12.67,6.59,9.55,3.79,2.78,4.75,3.06,2.57,3.11,1.75,2.25,2.18,1.79,1.77,3.06,4.48,7.3
NGA,Nigeria,Africa,Western Africa,8.09,19.8,13.08,10.48,13.89,2.91,6.71,11.17,11.98,10.64,13.26,6.78,7.16,8.16,12.59,12.96,11.19,9.76,10.85,13.75,15.53
NLD,Netherlands,Europe,Western Europe,3.39,2.09,1.62,1.33,0.41,1.47,2.2,4.84,1.68,1.68,1.95,2.74,1.48,1.37,32.3,0.95,1.31,7.17,2.17,1.92,4.08
NOR,Norway,Europe,Northern Europe,2.02,1.1,0.5,1.39,0.99,1.67,2.31,2.59,1.45,1.83,1.57,1.65,2.47,2.61,3.26,1.73,1.2,2.59,3.14,1.66,3.49
NZL,New Zealand,Oceania,Australia and New Zealand,2.73,1.83,2.15,2.84,2.78,2.35,1.96,2.61,1.88,2.62,1.3,1.24,1.48,1.27,1.37,1.4,1.15,1.84,2.31,3.71,5.74
PER,Peru,Americas,South America,1.12,0.99,1.08,1.14,1.37,1.95,4.57,4.36,1.92,2.97,3.58,3.5,3.5,3.82,4.0,2.97,2.33,2.39,1.78,2.4,5.51
PHL,Philippines,Asia,South-Eastern Asia,3.3,2.5,4.2,6.2,5.4,2.9,5.8,4.2,3.6,4.3,3.7,2.9,3.0,2.1,1.9,2.9,3.92,3.03,3.22,3.59,4.43
POL,Poland,Europe,Eastern Europe,2.69,0.73,1.75,1.34,0.31,1.08,2.48,2.85,1.67,2.43,2.19,1.2,0.64,0.32,-0.25,0.78,0.74,1.89,3.88,4.1,8.85
PRT,Portugal,Europe,Southern Europe,4.76,3.36,2.51,-17.32,13.24,2.35,1.99,1.12,0.99,-1.11,-20.14,0.19,0.07,-24.85,0.74,1.09,0.67,0.49,-0.04,0.75,5.45
PRY,Paraguay,Americas,South America,9.79,13.28,3.09,5.28,9.1,6.44,10.63,2.84,4.84,7.93,2.7,3.8,4.74,3.72,4.69,4.7,3.2,2.63,2.7,4.57,7.54
SAU,Saudi Arabia,Asia,Western Asia,-0.63,-1.04,-1.12,-2.54,-0.38,1.31,0.93,1.85,1.15,1.42,2.87,2.03,1.18,0.89,2.08,-1.16,3.06,-0.36,3.55,4.9,1.19
SGP,Singapore,Asia,South-Eastern Asia,-0.05,0.94,1.99,1.26,1.72,2.2,5.67,-0.02,1.52,2.17,2.55,1.71,1.95,0.5,0.9,1.45,1.68,1.04,-0.16,0.93,3.91
SLV,El Salvador,Americas,Central America,-0.17,4.49,6.55,5.97,8.78,7.0,14.65,-17.56,-0.4,2.27,1.22,0.69,0.5,0.22,-0.02,0.12,0.19,0.07,0.32,2.11,4.88
SVK,Slovakia,Europe,Eastern Europe,4.02,3.45,3.21,1.82,2.77,2.68,3.86,1.38,0.79,1.36,2.56,0.84,0.28,0.16,0.21,1.49,2.48,1.92,2.16,4.11,10.4
SVN,Slovenia,Europe,Southern Europe,7.95,5.84,3.15,1.14,1.58,3.79,4.95,1.54,0.3,0.85,1.72,1.71,0.46,0.45,0.62,1.06,1.2,1.69,0.69,1.08,5.65
SWE,Sweden,Europe,Northern Europe,1.99,1.09,0.18,0.01,0.75,2.56,2.07,-0.95,0.51,3.01,0.87,-0.24,-0.02,0.02,0.9,1.37,1.09,1.52,1.19,1.3,5.47
THA,Thailand,Asia,South-Eastern Asia,0.44,-0.27,0.27,1.61,2.4,0.8,0.04,-1.09,0.82,0.55,0.86,0.82,0.64,0.89,0.69,0.33,0.53,0.36,0.07,0.0,0.54
TTO,Trinidad and Tobago,Americas,Caribbean,0.6,0.39,1.64,2.57,3.63,4.32,6.16,4.15,4.31,1.72,2.48,2.38,1.99,1.84,2.14,1.66,0.98,1.12,0.09,1.52,3.96
TUN,Tunisia,Africa,Northern Africa,1.68,1.78,2.23,2.22,2.49,2.32,3.27,3.01,2.85,2.88,4.18,4.57,4.27,4.67,4.38,5.42,7.49,6.91,6.66,5.68,7.14
TUR,Turkey,Asia,Western Asia,43.16,21.85,9.75,8.85,7.36,7.11,6.22,4.4,4.13,5.66,7.21,6.27,9.17,8.04,8.47,10.09,16.46,13.45,11.19,18.28,57.52
TWN,"Taiwan, Province of China",Asia,Eastern Asia,-0.01,-0.69,0.33,0.15,0.52,1.05,1.28,-0.55,0.5,0.76,0.64,0.36,0.37,0.36,0.56,0.7,0.95,0.3,0.22,1.27,1.77
USA,United States of America,Americas,Northern America,2.32,1.46,1.76,2.17,2.5,2.34,2.3,1.7,0.96,1.66,2.11,1.76,1.75,1.83,2.21,1.84,2.14,2.19,1.7,3.57,6.22
